id,degree,value
0,NO FIELD OF STUDY,0
1,NATURAL AND PHYSICAL SCIENCES,1
2,INFORMATION TECHNOLOGY,2
3,ENGINEERING AND RELATED TECHNOLOGIES,3
4,ARCHITECTURE AND BUILDING,4
5,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",5
6,HEALTH,6
7,EDUCATION,7
8,MANAGEMENT AND COMMERCE,8
9,SOCIETY AND CULTURE,9
10,CREATIVE ARTS,10
11,"FOOD, HOSPITALITY AND PERSONAL SERVICES",11
12,MIXED FIELD PROGRAMMES,12
